"BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
0,0,0,0,0,0,2,7,0,1,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,2,22,0,0,0,0,0,0,20,0,0,0,0,0,0
0,0,0,0,0,0,1,25,0,2,0,0,0,0,11,0,0,0,0,0,0
0,0,1,0,0,0,7,32,0,0,0,1,0,0,10,0,0,0,0,0,0
0,0,1,0,0,0,9,22,1,1,0,1,0,0,7,0,0,0,0,0,0
0,2,1,0,0,0,6,25,2,1,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,6,30,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,8,24,2,0,0,0,0,0,2,0,0,0,0,0,0
0,6,3,0,0,0,3,23,2,1,0,0,0,1,0,0,3,0,0,0,0
0,2,2,0,1,0,0,19,1,1,0,0,0,0,3,0,1,0,0,0,0
0,2,3,0,0,0,1,18,0,0,0,0,0,0,12,0,0,0,0,2,0
0,4,4,0,0,0,0,26,0,1,0,0,0,0,14,0,0,0,0,0,0
0,3,1,0,0,0,0,30,0,0,0,1,0,0,15,0,0,0,0,0,0
0,2,0,0,0,0,3,30,0,0,0,0,0,0,16,0,0,0,0,1,0
0,1,0,0,0,0,1,9,0,0,0,0,0,0,4,0,0,0,0,0,0
0,2,0,0,0,1,1,34,2,0,0,0,0,0,6,0,0,0,0,0,0
0,0,1,0,0,0,1,35,0,0,0,0,0,0,4,0,0,0,0,0,0
0,1,0,0,0,0,0,36,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,22,2,0,0,0,0,0,2,0,0,1,2,0,0
0,0,1,0,0,1,3,36,1,1,0,0,0,0,0,0,1,1,2,0,0
0,0,2,0,0,0,0,34,5,4,0,0,0,0,1,0,1,0,0,0,0
0,4,0,0,1,2,0,26,1,4,0,0,0,0,5,0,0,1,0,0,0
0,4,0,0,0,5,5,34,4,1,0,1,0,0,8,0,2,0,1,0,0
0,2,0,0,0,2,5,44,0,1,0,1,0,0,5,0,0,0,2,0,0
0,3,0,0,0,3,4,32,1,0,0,0,0,0,19,0,0,0,0,0,0
0,1,0,0,0,2,3,36,0,1,0,0,0,0,19,0,1,0,0,0,0
0,3,0,0,0,2,2,31,0,0,0,0,0,0,11,0,0,0,0,0,0
0,1,0,0,0,1,4,27,0,1,0,0,0,0,4,0,0,0,0,0,0
0,2,0,0,0,0,3,21,1,0,0,1,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,2,14,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0
0,2,0,0,0,0,1,11,1,2,0,2,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,8,0,1,0,0,0,0,9,0,0,0,0,0,0
0,2,0,0,0,0,1,11,0,2,0,2,0,0,10,0,0,0,0,0,0
0,1,0,0,0,0,2,13,0,2,0,2,0,0,8,0,0,0,0,0,0
0,1,0,0,0,0,0,12,0,0,0,1,0,0,6,0,0,0,0,0,0
0,1,1,0,0,0,4,9,0,0,0,0,0,0,12,0,0,0,0,0,0
0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,0,12,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,4,9,2,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,7,0,1,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,2,6,0,0,0,0,0,1,9,0,0,0,0,0,0
0,0,0,0,0,0,1,8,0,0,0,0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,1,12,1,0,0,1,0,0,13,0,0,0,0,0,0
0,0,0,0,0,0,0,20,0,0,0,1,0,0,12,0,0,0,0,0,0
0,0,0,0,0,0,2,25,0,0,0,4,0,0,25,0,0,0,0,0,0
0,0,0,0,0,0,1,31,0,0,0,2,0,0,21,0,0,0,0,0,0
0,0,0,0,0,0,3,31,1,0,0,2,0,0,16,0,0,0,0,0,0
0,0,0,0,0,0,1,32,0,0,0,0,0,0,8,0,0,0,0,0,0
